"operational_ward_code","display_name","zone_code","legacy_parent_geometry_code","office_address","ward_office_phone","control_room_contact","assistant_commissioner_name","assistant_commissioner_role","assistant_commissioner_office_phone","assistant_commissioner_mobile","assistant_commissioner_email","complaint_officer_name","complaint_officer_role","complaint_officer_contact","verification_status","approval_status","demo_routable","production_routable","source_as_of","last_checked","source_url","source_reference"
"H/W","H/W","BMC_Z3","none","2nd Hasnabad Lane, near Khar Education Society, Khar (W), Mumbai 400052","26440120; 26054195; 26008737","26444000; 8591561505","Dinesh Pallewad","Assistant Commissioner — H/W Ward","26440120 ext 333","8793228252","ac.hw@mcgm.gov.in","Madhura Karekar","Complaint Officer — H/W Ward","9869385082; co.hw@mcgm.gov.in","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 H/W Ward pp.174-176"
"K/S","K/S","BMC_Z3","K/E","Azad Road, Gundavali Road, Andheri (E), Mumbai 400069","69186700","26847000; 8169251138","Dinesh Pallewad","Assistant Commissioner — K/S Ward (in charge)","26840986 ext 777; 26835814","8793228252","ac.ke@mcgm.gov.in","Carel D'Cunha","Complaint Officer — K/S Ward","7276820227","source_verified","pending_local_review","conditional","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 pp.184-187; mailbox retains legacy K/E code"
"K/N","K/N","BMC_Z3","K/E","Poonam Nagar, S. A. R. Mahadik Marg, Andheri (E), Mumbai; PIN pending source extraction","65270100","9004282253","Rupali Kadam","Assistant Commissioner — K/N Ward (in charge)","65270100","9167490778","ac.kn@mcgm.gov.in","","","","source_verified","pending_local_review","conditional","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 pp.184-187; child of legacy K/E geometry"
"K/W","K/W","BMC_Z4","none","Paliram Road, off S. V. Road, opposite Andheri Station, Andheri (W), Mumbai 400058","26237932; 26239131; 26239166; 26239190; 26239202; 26239499","26234000; 8928443696","Chakarapani Alle","Assistant Commissioner — K/W Ward","26239499 ext 401; 26237932; 26719726","9833815519","ac.kw@mcgm.gov.in","Sujata Shiriskar","Complaint Officer — K/W Ward","9004710085","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 pp.195-197"
"L","L","BMC_Z5","none","Laxmanrao Yadav Market Building, S. G. Barve Marg, Kurla (W), Mumbai 400070","26505103; 26505109","26505109; 8652750405","Dhanaji Herlekar","Assistant Commissioner — L Ward","26505103; 26503104; 26503057","9867474477","ac.l@mcgm.gov.in","Ganesh Kasane","Complaint Officer — L Ward","9011721746; co.l@mcgm.gov.in","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 pp.276-277"
"M/E","M/E","BMC_Z5","none","Madhukar Tukaram Marg and Periphery Road Junction, Deonar Colony, Govandi, Mumbai 400043","25502270-25502278","25558789; 8850685975","Ujwal Ingole","Assistant Commissioner — M/E Ward","25502270 ext 101; 25502280","9082743862","ac.me@mcgm.gov.in","Pradnya Gaikwad","Complaint Officer — M/E Ward","8104433213","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 pp.287-289"
"M/W","M/W","BMC_Z5","none","Sharadbhau Acharya Marg, near Natraj Cinema, Chembur, Mumbai 400071","25225000; 25281929; 25294983","25284000; 8591630619","Shankar Bhosale","Assistant Commissioner — M/W Ward (additional charge)","25281994 ext 101; 25270148","9833861575","ac.mw@mcgm.gov.in","","","","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 M/W Ward section"
"N","N","BMC_Z6","none","Jawahar Road, Ghatkopar (E), Mumbai 400077","25010161-25010165","","Maruti Pawar","Assistant Commissioner — N Ward","25010161; 25012440","9004304661","ac.n@mcgm.gov.in","Vaishali Nikumbh","Complaint Officer — N Ward","8425999435","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 N Ward section"
"P/S","P/S","BMC_Z4","none","CTS 746, Village Pahadi, S. V. Road, Goregaon (W), Mumbai 400104","69747000; 28721186; 28721963; 28722133","28727000; 8879188284","Aniruddha Kulkarni","Assistant Commissioner — P/S Ward","69747000; 28722133 ext 103; 28721186","8055481809","ac.ps@mcgm.gov.in","","","","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 P/S Ward section"
"P/E","P/E","BMC_Z4","P/N","Gaushala Lane, near Diamond Market, Malad (E), Mumbai 400097","29994213","9326564842","Rupali Sarmalkar","Assistant Commissioner — P/E Ward","29994213","9619994605","ac.pe@mcgm.gov.in","Nidhi Kotiyan","Complaint Officer — P/E Ward","9819742347","source_verified","pending_local_review","conditional","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 pp.219-221; child of legacy P/N geometry"
"P/W","P/W","BMC_Z4","P/N","Liberty Garden, Mamlatdarwadi Marg, Malad (W), Mumbai 400067","29994000; 28823266","28826000; 9082464817","Kundan Valvi","Assistant Commissioner — P/W Ward","29994000 ext 7302; 28804990","7208859991","ac.pn@mcgm.gov.in","Vacant","Complaint Officer — P/W Ward","","source_verified","pending_local_review","conditional","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 pp.219-222; mailbox retains legacy P/N code"
"R/S","R/S","BMC_Z7","none","Mahatma Gandhi Cross Road 2, near Sardar Vallabhbhai Patel Swimming Pool, Kandivali (W), Mumbai 400067","28052611; 28052982","28054788; 7045627145","Arati Golekar","Assistant Commissioner — R/S Ward","28056000; 28065185; 28615955","9833850774","ac.rs@mcgm.gov.in","Shilpa Bhogle","Complaint Officer — R/S Ward","9969636469","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 R/S Ward section"
"R/C","R/C","BMC_Z7","none","Chandavarkar Lane, near Railway Station, Borivali (W), Mumbai 400092","28931342-28931345; 28946000","28931188; 7208536610","Dr Praful Tambe","Assistant Commissioner — R/C Ward","28946000; 28912396; 28911663","7972951539","ac.rc@mcgm.gov.in","Vaishnavi Sawant","Complaint Officer — R/C Ward","9867846216","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 R/C Ward section"
"R/N","R/N","BMC_Z7","none","CTS 921/7, Dahisar Gaon, Rustomjee Colony, Ranganath Keskar Marg, Dahisar (W), Mumbai 400068","28920254; 28920257; 28924869","28936000; 9326404097","Rohit Trivedi","Assistant Commissioner — R/N Ward (additional charge)","28920254; 28920247 ext 262; 28924894","9821179377","ac.rn@mcgm.gov.in","Kavita Deherkar","Complaint Officer — R/N Ward","9561839611; co.rn@mcgm.gov.in","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 R/N Ward pp.266 onward"
"S","S","BMC_Z6","none","Lal Bahadur Shastri Marg, Mangatram Petrol Pump, Bhandup (W), Mumbai 400078","69365000","69365002; 8104299691","Samrin Sayyed","Assistant Commissioner — S Ward","69365000; 25948588","9100691717; 9960119048","ac.s@mcgm.gov.in","Leena Chavan","Complaint Officer — S Ward","9594190875; co.s@mcgm.gov.in","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 pp.322-324"
"T","T","BMC_Z6","none","Lala Devidayal Marg, near Panch Rasta, Mulund (W), Mumbai 400080","25645289-25645296; 25622387","25694000; 7977559852","Yogita Kolhe","Assistant Commissioner — T Ward (in charge)","25645291; 25645294; 25624925","","ac.t@mcgm.gov.in","Pranali Tawate","Complaint Officer — T Ward","9619520235; co.t@mcgm.gov.in","source_verified_with_malformed_mobile","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 T Ward section; AC mobile malformed in source and intentionally omitted"
